Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
Aspen Meadows Park,Sandy,84092,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.57319427500005,-111.83188213299997",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.57319427500005,-111.83188213299997,Called the Fish Park because part of the playground equipment looks like a fish. Looks like a great sledding hill in the winter.,No,No,Yes
Autumn Dusk Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.49777036200004,-112.02956570299995",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.49777036200004,-112.02956570299995,Cute secret playground with lots of grass to run around in.,No,No,Yes
Autumn Hills Park,Riverton,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50680757200007,-112.02053691599997",Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,40.50680757200007,-112.02053691599997,Multiple soccer fields! ,No,No,Yes
Autumn Park,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.46262458000007,-111.82829720699999",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.46262458000007,-111.82829720699999,,No,No,Yes
Azure Meadows Park,Taylorsville,84129,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.64144647400008,-111.98380941099998",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.64144647400008,-111.98380941099998,Cute pocket park for kids or play or a picnic.,No,Yes,Yes
Back Nine Park,West Valley City,84120,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.707267272000024,-111.98626555999999",No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.707267272000024,-111.98626555999999,"This park backs up to a golf course. The stream is behind a locked fence, but a determined kid could get back there if unsupervised.",No,Yes,No
Ballard Corner Memorial Park ,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51186768100007,-111.86585429199994",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.51186768100007,-111.86585429199994,,No,No,No
Ballpark Playground ,Salt Lake City,84115,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.734816746000035,-111.89401288199997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.734816746000035,-111.89401288199997,,No,No,No
Barney’s Creek Park ,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.605817571000046,-112.00660114499999",No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.605817571000046,-112.00660114499999,,No,Yes,Yes
Basin Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.565522471000065,-112.01377784199997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.565522471000065,-112.01377784199997,"4-stars for the fire pit with Adirondack chairs. Otherwise, could use some amenities.  ",No,No,Yes
