Park Name,City,Zip Code,City Cast Rating,Park Management,Location,Bathrooms,Pool,Pond,Grills,Pavillion,Gardens,Baseball Diamond,Softball Diamond,Toddler Friendly Play Area,Kid Play Area,Off Leash Dog Area,Water Fountain,Splash Pad,Skate Park,Basketball Court,Disc Golf,Beach Volleyball Court,Volleyball Court,Soccer Field,River or Stream,Tennis Courts,Pickleball Courts,Fitness Area,latitude,longitude,Additional Notes,Futsal Court,Lighting After Dark,Picnic Tables
Castlewood Park,Riverton,84065,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51609170100005,-111.97053907899999",No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.51609170100005,-111.97053907899999,,No,No,Yes
Cedar Brae Park,Riverton,84065,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52081097300004,-111.96741735099994",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.52081097300004,-111.96741735099994,"Right now it’s just an empty mulched area, hopefully a playground is to come!",No,No,No
Centennial Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51529070000004,-111.95777314999998",Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.51529070000004,-111.95777314999998,"Giant field where you could play soccer, football, etc., but no goals or markings.",No,No,Yes
Centennial Park,West Valley City,84120,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.70169100000004,-112.01996999999994",Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,40.70169100000004,-112.01996999999994,"6 basketball courts, 12 Pickleball courts, a really fun pool, full of families with a great soundtrack. Even has a BMX track and a rock garden to play with RC crawlers.",Yes,Yes,Yes
Central Park ,South Salt Lake,84115,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.71104260200008,-111.88532770599994",Mysteriously locked,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,40.71104260200008,-111.88532770599994,Nice hand washing station with a water bottle refill! Community garden and lovely grass space.,No,Yes,Yes
Chamonix Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50410790900003,-111.97201513199997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.50410790900003,-111.97201513199997,Unfortunately the pool next door is private :(,No,No,No
City Creek Park,Salt Lake City,84103,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.775540600000056,-111.88813405899998",No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.775540600000056,-111.88813405899998,"Really charming shady nook at a huge SLC intersection. Perfect for a lunch break, picnic, or to DTR.",No,Yes,No
City Hall Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.51735990100008,-111.94108148499998",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.51735990100008,-111.94108148499998,,No,No,Yes
Clover Leaf Mini Park,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.47651656000005,-111.83997211999997",No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.47651656000005,-111.83997211999997,,No,No,No
Colonial Estates Park,West Jordan,84084,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.625976165000054,-111.94465945999997",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.625976165000054,-111.94465945999997,,No,Yes,Yes
Confluence Park,Murray,84123,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.667685439000024,-111.90804127599995",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.667685439000024,-111.90804127599995,"Quick little turn off the Jordan River for playing in grass, a picnic, or parking before embarking on the trail.",No,No,Yes
Constitution Park,Salt Lake City,84116,3,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.775910260000046,-111.92579349099998",No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,40.775910260000046,-111.92579349099998,Home to the Northwest Rec Center and right on the Jordan River Trail. The pool is indoor!,Yes,No,Yes
Constitution Park,West Jordan,84084,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62239000000005,-111.96883699999995",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,40.62239000000005,-111.96883699999995,Nice courts and facilities here!,No,Yes,Yes
Copper Creek Park,Herriman,84096,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53082911200005,-112.00136693799999",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,40.53082911200005,-112.00136693799999,Two soccer fields,No,No,Yes
Copperton Park,Copperton,84006,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.56329339500007,-112.09828220999998",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,40.56329339500007,-112.09828220999998,"A street hockey court! I really like this city park, it’s so charming and even got new trees. I love when the picnic areas have grill tables, too.",No,Yes,Yes
Cottonwood Grove,Murray,84123,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.64452483100007,-111.92198717699995",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.64452483100007,-111.92198717699995,Great for runners.,No,No,No
Cottonwood Park,Salt Lake City,84116,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77678813800003,-111.93669572899995",Mysteriously locked,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,40.77678813800003,-111.93669572899995,"This is a really cute park on the Jordan River Trail, but current construction is making it a little chaotic.",No,Yes,Yes
Cougar Park,West Jordan,84118,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.63043794400005,-112.00674987399998",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,40.63043794400005,-112.00674987399998,"The cougar Park nature preserve was established to protect burrowing, owls, and much of the park is this area. There are horseshoes!",No,No,Yes
Country Crossing Park,South Jordan,84095,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53861305500004,-111.99091416599998",No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.53861305500004,-111.99091416599998,Beautiful views and a large field basin for play! ,No,No,Yes
Country Meadows Park,West Valley City,84120,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.68482092800008,-111.99010021399994",No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,40.68482092800008,-111.99010021399994,Fun and lively neighborhood park with a great playground! ,No,Yes,Yes
Country Squire,West Jordan,84088,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.595586284000035,-111.98032150799997",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.595586284000035,-111.98032150799997,,No,No,Yes
CR Hamilton Sports Complex,Riverton,84065,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50056429500006,-111.97983324299997",Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.50056429500006,-111.97983324299997,"This is a true sports complex, with 6 baseball diamonds and an indoor pavilion you can reserve.",No,Yes,No
Cranberry Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53949169100008,-111.88143026599994",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.53949169100008,-111.88143026599994,,No,No,Yes
Creek Ridge Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.523775503000024,-112.04950439899994",No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.523775503000024,-112.04950439899994,,No,No,Yes
Creekside Park,Sandy,84070,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.580520997000065,-111.91303647799998",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.580520997000065,-111.91303647799998,Cute little park with a kid climbing wall.,No,No,Yes
Crescent Community Park,Sandy,84070,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.551519720000044,-111.88524280399997",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,40.551519720000044,-111.88524280399997,Beautiful tennis and pickleball courts with mountain views ,No,Yes,Yes
Crestwood Park,Cottonwood Heights,84122,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.61315129800005,-111.84398675899996",Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,40.61315129800005,-111.84398675899996,Equestrian trail. Charming picnic tables with prep tables or grill bases. Really charming outdoor pool! The sound of water rushing. Natural forts to play in.,No,No,Yes
Crus Corvi Park,West Jordan,84081,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.628317338000045,-112.01743507699996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.628317338000045,-112.01743507699996,What a darling little corner park with lots of shade and a brand new playground.,No,No,Yes
Curtis Park,Salt Lake City,84108,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.737744459000055,-111.82782416299995",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.737744459000055,-111.82782416299995,,No,No,No
David Gourley Park,Kearns,84118,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.660054968000054,-111.99207422799998",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,40.660054968000054,-111.99207422799998,"This park could use some love, and I think it’s getting some because there was a little construction activity. BYO volleyball net! ",No,No,Yes
Davis Park,Salt Lake City,84108,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.749367567000036,-111.83378453399996",No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.749367567000036,-111.83378453399996,You know you’re in the right place when you see the giant pheasant statue. This park also has a cute sandbox! Named after a late SLC Councilmember. ,No,Yes,No
Day Ranch Park,Bluffdale,84065,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.47275508700005,-111.92457631599996",Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,40.47275508700005,-111.92457631599996,"Dog park going up across the street. Dirt bike and asphalt bike tracks as well as skatepark — this is a high level operation! Giant picnic field. Just needs more trees. Food trucks every Tuesday, pickleball league. 8 pickleball courts!! Firmly believe you",No,Yes,Yes
Daybreak Promenade,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.54705401000007,-111.99474415899999",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.54705401000007,-111.99474415899999,There’s a small maze in the playground area!,No,Yes,No
Dayland Dog Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50779570900005,-111.88197818199995",No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.50779570900005,-111.88197818199995,Cute off leash dog park with a natural stream and small obstacle course.,No,No,No
Decker Lake Park,West Valley City,84119,2,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.709910688000036,-111.94853276499998",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,40.709910688000036,-111.94853276499998,Big jogging path around the lake.,No,No,Yes
Deer Hollow Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.516241783000055,-111.84388554499998",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.516241783000055,-111.84388554499998,Great sledding hill and some beautiful mature trees,No,No,Yes
Deer Run Park,Draper,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.49474017600005,-111.86360168799996",No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.49474017600005,-111.86360168799996,"Private park, I think. Though open to the public.",No,No,Yes
Desert Creek Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.49579670900005,-112.04886564099996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.49579670900005,-112.04886564099996,,No,No,No
Dewey Bluth Park,Sandy,84070,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.57191090400005,-111.88652717099995",Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,40.57191090400005,-111.88652717099995,"4 pickleball courts, 2 tennis courts. 
Directly connected by a sidewalk to the Sandy Civic Center Trax station. Located along the Porter Rockwell Trail (it runs along the Trax corridor), the off leash dog park is a short 3 minute walk south. ",No,No,Yes
Dimple Dell Regional Park,Sandy,84092,5,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.55760928600006,-111.85335149299999",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.55760928600006,-111.85335149299999,"This park is my great love. Keep your dog on a leash because this is a horse park! Some new trailhead facilities mean more amenities, but this park really is for horses, hiking, and walks. You can get lost in its 630 acres (and should).",No,No,Yes
District Detention Basin Park,South Jordan,84095,1,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.537006708000035,-111.97832275399998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.537006708000035,-111.97832275399998,Just a grassy slice,No,No,No
Dixie Valley Park,West Jordan,84084,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.63395818400005,-111.97737866099999",No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.63395818400005,-111.97737866099999,,No,No,Yes
Donner Trail Park,Salt Lake City,84108,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.747991427000045,-111.80591524699997",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.747991427000045,-111.80591524699997,"Great walking path, lots of benches, 2 playgrounds! Named after the adjacent hill scaled by the Donner Party, ultimately overworking and killing some of their oxen (they really were a mess).",No,Yes,No
Dorileee,West Jordan,84088,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.59523337100006,-111.99752669099996",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.59523337100006,-111.99752669099996,Features a big field,No,No,Yes
Dr. Ellis Reynolds Shipp Park,Salt Lake City,84103,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.77402925600006,-111.87218937599994",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.77402925600006,-111.87218937599994,Cute little namesake park next to some multifamily housing in the avenues. From the Utah Historical Society: “Ellis Shipp left her children in the care of her husband and his three wives until graduation from the Women’s Medical College in Philadelphia. W,No,No,No
Dr. O. Roi Hardy Park,Riverton,84065,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52677807600003,-111.92046716099998",Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,40.52677807600003,-111.92046716099998,"Cute little green space on the Jordan River Trail, and a bridge that connects to the Jordan River Rotary Park.",No,No,Yes
Draper City Park,Draper,84020,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52377513700003,-111.85552348799996",Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,40.52377513700003,-111.85552348799996,"Amazing playground! Home to the Tree of Life Christmas display, a real sight.",No,Yes,Yes
Draper Cycle Park,Draper,84020,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.50546490200003,-111.848577278",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.50546490200003,-111.848577278,"Very cool tracks for every skill level and every kind of bike — pump kills, jumps, a flyover etc. It’s also the trailhead for a bunch of single track trails. Apparently they are working to build a velodrome too?",No,No,No
Draper Historic Park ,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.52202552700004,-111.86440521099996",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.52202552700004,-111.86440521099996,Bathrooms are sneaky across the street around the side of the museum.,No,Yes,Yes
Dunsinane Detention Basin Park ,South Jordan,84009,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.57792884000003,-111.98247323899994",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.57792884000003,-111.98247323899994,,No,No,No
Eagle Crest Park,Draper,84020,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.47454994200007,-111.82651451999999",No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.47454994200007,-111.82651451999999,This little park gets a boost for views! ,No,No,Yes
Eagle Park,West Jordan,84081,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.61507915300007,-112.01663762299995",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.61507915300007,-112.01663762299995,,No,No,Yes
East Riverfront Park,South Jordan,84095,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.55160281900004,-111.91671166199995",Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,40.55160281900004,-111.91671166199995,This park is right on the Jordan River Parkway trail. There are a lot of trees and smaller pavillions for a cool/shady impromptu picnic. Fishing ponds are a short walk away. You can see a lot of wildlife in this area. It is close to the RiverPark business,No,Yes,Yes
Eastlake Commons,South Jordan,84009,3,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.556592211000066,-111.99310286899998",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,40.556592211000066,-111.99310286899998,"Pool is private, but the garden is beautiful. ",No,No,No
Eastlake Park ,South Jordan,84009,5,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.55493687500007,-112.00017051999998",No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.55493687500007,-112.00017051999998,"Four docks for launching boats, really nice restrooms, and a sandy beach. So many geese to run around with.",No,Yes,Yes
Eastridge Park,Sandy,84020,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.53048075300006,-111.86265441799998",Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.53048075300006,-111.86265441799998,Make-it-what-you-want field!,No,No,Yes
Elizabeth Sherman Park,Salt Lake City,84106,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.718093209000074,-111.85690307499999",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.718093209000074,-111.85690307499999,Just an itty bitty green space but why not!,No,Yes,No
Emmabella Park,Herriman,84096,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.494364500000074,-112.03292993199994",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.494364500000074,-112.03292993199994,,No,No,Yes
Emmeline Park,Herriman,84096,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.488921781000045,-112.02356651499997",No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.488921781000045,-112.02356651499997,,No,No,Yes
Empress Lane Park,West Jordan,84081,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.629458799000076,-112.03186538899996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.629458799000076,-112.03186538899996,,No,No,No
Ensign Downs Park,Salt Lake City,84103,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.78936167900008,-111.88719217299996",No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,40.78936167900008,-111.88719217299996,Great views make this a perfect sunset park.,No,No,No
Ensign Park,Magna,84044,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.710211223000044,-112.06838678699995",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.710211223000044,-112.06838678699995,,No,No,Yes
Evergreen Park,Millcreek,84109,4,Salt Lake County,"https://www.google.com/maps/dir/?api=1&destination=40.69666295800005,-111.82515949199995",Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.69666295800005,-111.82515949199995,Lovely shady picnic areas. Cool 50s diner pavilion. Placard dedicating the neighborhood to Utah’s Black pioneers.,No,Yes,Yes
Ewok Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.56016801700008,-112.02108538899995",No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.56016801700008,-112.02108538899995,Love this half circle of shady picnic tables. Tons of poles for hanging hammocks. ,No,No,Yes
Fairbourne Station Promenade & Plaza,West Valley City,84119,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.695717528000046,-111.96031526099995",Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,40.695717528000046,-111.96031526099995,Fun little man-made stream that serves as a splash pad. Also infatuated with the installation that tells you how much you weigh in fruit or farm animals. ,No,Yes,Yes
Fairmont Park,Salt Lake City,84106,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.722560669000075,-111.86101681799994",Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,40.722560669000075,-111.86101681799994,"This is a great park, with particularly nice beach volleyball courts and a cozy duck pond. Right off the McCleland Trail. And it’s slated for even more upgrades with the GO bond.",No,Yes,Yes
Fairway Estates Park,West Jordan,84088,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.59760312700007,-111.95174531499998",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,40.59760312700007,-111.95174531499998,Tucked away! ,No,No,No
Falcon Crest Park,West Valley City,84128,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.68321928000006,-112.05730908099997",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.68321928000006,-112.05730908099997,,No,Yes,Yes
Falcon Park,Sandy,84093,5,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.58403091900004,-111.84051457399994",Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,40.58403091900004,-111.84051457399994,Particularly excellent falcon-themed playground.,No,No,Yes
Fassio Farm Park,West Valley City,84120,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.691597167000054,-112.01600851799998",No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.691597167000054,-112.01600851799998,,No,Yes,Yes
Faultline Park,Salt Lake City,84102,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.760718256000075,-111.86127771299999",No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,40.760718256000075,-111.86127771299999,"Named for the faultline that runs down 1300 E. (which explains the steep drop into central city from the west bench!). This park has few amenities but some great grassy spots for chilling. It gets four starts for its view of downtown, though. You could ha",No,Yes,Yes
Ferguson Park,Cottonwood Heights,84121,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.60956831100003,-111.78958055299995",Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,40.60956831100003,-111.78958055299995,"Dog water fountain, too! Lots of parking and benches. Not much shade. ",No,No,Yes
Fielding Hill Park,Draper,84020,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.46004869600006,-111.83185607499996",No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.46004869600006,-111.83185607499996,,No,No,Yes
Fife Wetland Preserve,Salt Lake City,84104,3,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.74915763800004,-111.92216938999997",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,40.74915763800004,-111.92216938999997,Unpaved little loop around a marsh off the Jordan River.,No,No,No
Finch Park,South Jordan,84009,3,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.56095886300005,-111.99428825399997",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.56095886300005,-111.99428825399997,"Daybreak HOA runs this park! No full playground, just a swingset.",No,No,No
Fire Station Park,Midvale,84047,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.62074127300008,-111.87472036099996",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.62074127300008,-111.87472036099996,How fun that the fire station (public entity) decided to use their backyard space for a park (public entity). ,No,No,Yes
Fire Station Tennis Court Park,Salt Lake City,84116,2,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.775421737000045,-111.91977287199995",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,40.775421737000045,-111.91977287199995,"These courts need love, but the garden is lovely.",No,No,No
Firefly Park,South Jordan,84009,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.55363692000003,-112.01625267399999",No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,40.55363692000003,-112.01625267399999,"Wish I could figure out what some of these structures are. I’m really charmed by the party lights, decks, and HUGE climbing structure over sand. ",No,Yes,Yes
Firmont Park,South Jordan,84095,4,Daybreak HOA,"https://www.google.com/maps/dir/?api=1&destination=40.53895170100003,-112.00754602099994",No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,40.53895170100003,-112.00754602099994,,No,Yes,Yes
First Encampment Park,Salt Lake City,84115,4,Its City,"https://www.google.com/maps/dir/?api=1&destination=40.73334489600006,-111.87684088399999",No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,40.73334489600006,-111.87684088399999,"I’m a sucker for pocket parks, but the way they landscaped the rocks (though not the intention based on the signage?) creates privacy in a clever way! Right on the bus line.",No,Yes,No
